PRODUCT,LEGACY PRODUCT,DESCRIPTION,UPC,QTY ORD,QTY,PRICE,UNIT ALLOW,NET PRICE,EXT US($)
K4159303,3CP01,3C PLTE - LIGHT,800897831479,60,60,7.2,2.4,4.8,288.0
K4159404,3CP02,3C PLTE - MEDIUM,800897831486,60,60,7.2,2.4,4.8,288.0
K4159504,3CP03,3C PLTE - DEEP,800897831493,72,72,7.2,2.4,4.8,345.6
K4159607,3CP04,3C PLTE - CONCEALER,800897834722,72,72,7.2,2.4,4.8,345.6
K4097203,BLG05,BUTR GLOSS - CREME BRULEE,800897814893,30,30,3.6,1.2,2.4,72.0
K4098103,BLG14,BUTR GLOSS - MADELEINE,800897818583,30,30,3.6,1.2,2.4,72.0
K4098303,BLG16,BUTR GLOSS - PRALINE,800897828377,144,144,3.6,1.2,2.4,345.6
K4098703,BLG20,BUTR GLOSS - RED VELVET,800897828414,60,60,3.6,1.2,2.4,144.0
K4098903,BLG22,BUTR GLOSS - DEVILS FOOD CAKE,800897828443,60,60,3.6,1.2,2.4,144.0
K4362403,BLG32,BUTR GLOSS - STRAWBERRY CHEESECAKE,800897847700,60,60,3.6,1.2,2.4,144.0
K4488000,BLG35,BUTTER LIP GLOSS BIT OF HONEY,800897917979,60,60,3.6,1.2,2.4,144.0
K4488100,BLG36,BUTTER LIP GLOSS SORBET,800897917986,30,30,3.6,1.2,2.4,72.0
K4488300,BLG38,BUTTER LIP GLOSS SUMMER FRUIT,800897917827,30,30,3.6,1.2,2.4,72.0
K4488400,BLG39,BUTTER LIP GLOSS ROCKY ROAD,800897917834,30,30,3.6,1.2,2.4,72.0
K5267900,BLG54,BUTTER LIP GLOSS SUGAR GLASS,800897226596,144,144,3.60,1.20,2.40,345.60
K5993800,BMBL01,BUTTERMELT BLUSH MY BUTTA HALF,800897257576,72,72,6.00,2.00,4.00,288.00
K5994000,BMBL03,BUTTERMELT BLUSH SOONER THE BUTTA,800897257590,72,72,6.00,2.00,4.00,288.00
K5994100,BMBL04,BUTTERMELT BLUSH U KNOW BUTTA,800897257606,72,72,6.00,2.00,4.00,288.00
K5994400,BMBL07,BUTTERMELT BLUSH BUTTA WITH TIME,800897257644,72,72,6.00,2.00,4.00,288.00
K5994500,BMBL08,BUTTERMELT BLUSH GETTING BUTTA,800897257651,72,72,6.00,2.00,4.00,288.00
K6048500,BMBL12,BUTTERMELT BLUSH ALL THE BUTTA,800897259066,72,72,6.00,2.00,4.00,288.00
K3391400,BWMMCS02,BWM SERUM N CALM CONCLR LIGHT,800897129776,30,30,7.20,2.40,4.80,144.00
K3391600,BWMMCS04,BWM SERUM N CALM CONCLR BEIGE,800897129790,30,30,7.20,2.40,4.80,144.00
K3391800,BWMMCS06,BWM SERUM N CALM CONCLR TAN,800897129814,30,30,7.20,2.40,4.80,144.00
K3392100,BWMMCS09,BWM SERUM N CALM CONCLR DP,800897129844,30,30,7.20,2.40,4.80,144.00
K5591800,BWMMCS2.5,BWM SERUM AND CALM CONCLR MED VNL,800897242311,30,30,7.20,2.40,4.80,144.00
