Item,Internal Cod,Cod Vend,Description,Quantity,UM,Unit Price,Net Amount
10,114214,800897190507,BORN TO GLOW FOUNDATION-CARAMEL,144.00,PC,0.01,1.44
20,114217,800897190453,BORN TO GLOW FOUNDATION-CLASSIC TAN,144.00,PC,0.01,1.44
30,114227,800897190484,BORN TO GLOW FOUNDATION-GOLDEN,216.00,PC,0.01,2.16
40,114230,800897190323,BORN TO GLOW FOUNDATION-LIGHT IVORY,60.00,PC,0.01,0.60
50,114231,800897190286,BORN TO GLOW FOUNDATION-LIGHT PORCELAIN,30.00,PC,0.01,0.30
60,114234,800897190408,BORN TO GLOW FOUNDATION-MED OLIVE,216.00,PC,4.00,864.00
70,114235,,BORN TO GLOW FOUNDATION-MOCHA,30.00,PC,0.00,0.00
80,114236,800897190378,BORN TO GLOW FOUNDATION-NATURAL,216.00,PC,4.00,864.00
90,114238,800897190477,BORN TO GLOW FOUNDATION-NEUTRAL TAN,216.00,PC,0.01,2.16
100,114239,800897190361,BORN TO GLOW FOUNDATION-NUDE,30.00,PC,0.01,0.30
110,114242,800897190316,BORN TO GLOW FOUNDATION-PORCELAIN,15.00,PC,0.01,0.15
120,114243,800897190385,BORN TO GLOW FOUNDATION-SOFT BEIGE,216.00,PC,4.00,864.00
130,114246,800897190347,BORN TO GLOW FOUNDATION-VANILLA,216.00,PC,4.00,864.00
140,110966,800897157289,CANT STOP WONT STOP 24HR F-BEIGE,30.00,PC,6.00,180.00
150,110967,800897157272,CANT STOP WONT STOP 24HR F-BUFF,30.00,PC,6.00,180.00
160,110968,800897157296,CANT STOP WONT STOP 24HR F-CAMEL,30.00,PC,6.00,180.00
170,110969,800897157537,CANT STOP WONT STOP 24HR F-CAPPUCINO,30.00,PC,6.00,180.00
180,110970,800897157326,CANT STOP WONT STOP 24HR F-CARAMEL,30.00,PC,6.00,180.00
190,110977,800897181192,CANT STOP WONT STOP 24HR FDTN-ALMND,144.00,PC,6.00,864.00
200,110979,800897181093,CANT STOP WONT STOP 24HR FDTN-CL TN,360.00,PC,6.00,"2,160.00"
210,110984,800897181215,CANT STOP WONT STOP 24HR FDTN-HONEY,144.00,PC,6.00,864.00
220,110989,800897181171,CANT STOP WONT STOP 24HR FDTN-NT BF,288.00,PC,6.00,"1,728.00"
230,110990,800897181185,CANT STOP WONT STOP 24HR FDTN-NT TN,288.00,PC,6.00,"1,728.00"
240,110992,800897181206,CANT STOP WONT STOP 24HR FDTN-WR CR,60.00,PC,6.00,360.00
250,110995,800897181154,CANT STOP WONT STOP 24HR FDTN-WM VN,60.00,PC,6.00,360.00
260,110998,800897157320,CANT STOP WONT STOP 24HR F-GOLDEN,60.00,PC,6.00,360.00
270,119046,800897206949,TOTL CONTRL PRO DRP FDN CAMEL,30.00,PC,0.01,0.30
280,119049,800897206932,TOTL CONTRL PRO DRP FDN CLASSIC TAN,30.00,PC,0.01,0.30
290,119050,,TOTL CONTRL PRO DRP FDN COCOA,30.00,PC,0.00,0.00
300,119054,800897206863,TOTL CONTRL PRO DRP FDN GOLDEN HONEY,30.00,PC,0.01,0.30
310,119055,800897206840,TOTL CONTRL PRO DRP FDN LIGHT,30.00,PC,0.01,0.30
320,119057,,TOTL CONTRL PRO DRP FDN MED OLIVE,30.00,PC,0.00,0.00
330,119059,,TOTL CONTRL PRO DRP FDN NATURAL,30.00,PC,0.00,0.00
340,119063,,TOTL CONTRL PRO DRP FDN SOFT BEIGE,30.00,PC,0.00,0.00
350,119064,,TOTL CONTRL PRO DRP FDN VANILLA,30.00,PC,0.00,0.00
360,109055,K4373901,FIRST BASE PRMR SPRAY,30.00,PC,3.20,96.00
370,120097,,HYDRA TOUCH PRIMER MINI,15.00,PC,0.00,0.00
380,117194,800897005078,MARSH MELLOW PRIMER 01,144.00,PC,6.80,979.20
390,118304,800897129965,PLUM RGHT BCK PLUMP SERM N PRMR 01,288.00,PC,6.80,"1,958.40"
400,118307,800897132927,PLUM RGHT BK PRM SRM N PRMR 01M,144.00,PC,3.20,460.80
410,117194,800897005078,MARSH MELLOW PRIMER 01,30.00,PC,6.80,204.00
420,113542,800897183691,CANT STOP SETTING POWDER LIGHT,72.00,PC,4.80,345.60
430,113543,800897183707,CANT STOP SETTING POWDER LIGHT MED,144.00,PC,4.80,691.20
440,113544,800897183714,CANT STOP SETTING POWDER MEDIUM,144.00,PC,0.01,1.44
450,117559,800897004262,CSWS MATTIFYING PWDR CARAMEL,288.00,PC,3.80,"1,094.40"
460,117557,800897004248,CSWS MATTIFYING PWDR GOLDEN,360.00,PC,3.80,"1,368.00"
470,117558,800897004255,CSWS MATTIFYING PWDR TAN,360.00,PC,3.80,"1,368.00"
480,109271,800897834676,HI DEF FNSNG PWDR - BANANA,30.00,PC,4.80,144.00
490,109272,800897834685,HI DEF FNSNG PWDR - MINT GREEN,30.00,PC,4.80,144.00
